               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 139,            0.015197,            0.015089,          0.00090439,             0.83159,             0.73881,             0.77812,             0.50492,            0.020336,            0.012161,           0.0063774,            0.000892,            0.000892,            0.000892
                 140,            0.015209,            0.015264,          0.00090771,             0.83851,             0.75656,             0.78551,             0.50475,            0.020578,            0.012352,           0.0055613,            0.000826,            0.000826,            0.000826
                 141,            0.015091,            0.015019,            0.001045,             0.83857,             0.75559,                0.79,             0.50103,             0.02054,            0.012365,           0.0056795,             0.00076,             0.00076,             0.00076
                 142,            0.014932,            0.014805,          0.00099966,             0.86627,             0.72981,             0.78549,             0.50422,            0.020549,            0.012228,           0.0058319,            0.000694,            0.000694,            0.000694
                 143,            0.015136,            0.015271,          0.00092617,             0.85476,             0.73326,             0.77966,              0.4981,            0.020381,            0.012261,            0.006031,            0.000628,            0.000628,            0.000628
                 144,            0.014772,            0.014211,          0.00080144,             0.83299,             0.73326,             0.77585,             0.49925,             0.02026,            0.012288,           0.0061437,            0.000562,            0.000562,            0.000562
                 145,            0.014476,            0.014577,          0.00081651,             0.83653,             0.73135,             0.77506,             0.49896,            0.020344,            0.012208,           0.0060301,            0.000496,            0.000496,            0.000496
                 146,            0.014952,              0.0143,          0.00091707,             0.83896,             0.73843,             0.77721,             0.49769,            0.020182,            0.012177,           0.0060444,             0.00043,             0.00043,             0.00043
                 147,            0.014287,             0.01447,          0.00073215,             0.84397,             0.73786,             0.77792,             0.50231,            0.020143,            0.012239,           0.0060091,            0.000364,            0.000364,            0.000364
                 148,            0.014818,            0.014511,          0.00084255,             0.85611,             0.72011,             0.77844,             0.50375,            0.019995,            0.012164,           0.0060626,            0.000298,            0.000298,            0.000298
                 149,            0.014652,            0.014684,          0.00078577,              0.8341,             0.72666,             0.77406,              0.5002,            0.020061,            0.012202,           0.0061645,            0.000232,            0.000232,            0.000232
